region,event,date,links
TEXAS," Gov. Greg Abbott stresses that only local school boards, not local governments, have the power to decide how to open schools this fall during the coronavirus pandemic. Abbott’s decision adds to the ongoing conflict between him and local governments during the pandemic, with mayors and judges voicing frustration over having their hands tied by the state’s response. Meanwhile, Texas private schools weighing whether to reopen their campuses face a different calculus than their public counterparts. The fewer students in classrooms, the more income lost. But if they fall short on safety, private schools are more vulnerable to lawsuits than public schools.",8/4/2020,"['https://www.texastribune.org/2020/08/04/texas-greg-abbott-coronavirus-press-conference/', 'https://www.texastribune.org/2020/08/05/texas-private-schools-coronavirus-reopen/']"
TEXAS," For the first time in nearly five months, visitors will be allowed in Texas nursing homes on a limited basis, state health officials say, reversing a policy intended to keep the state’s most vulnerable populations safe from a pandemic that has proved especially deadly for older people. Limited visits will be allowed at facilities where there are no cases among residents or staff.",8/6/2020,['https://www.texastribune.org/2020/08/06/texas-nursing-home-visits-coronavirus/']
TEXAS," Dr. Jose Vazquez, the top doctor advising Starr County on local health policy, resigns abruptly, leaving a key position temporarily vacant in a rural border community already battered by the coronavirus.",8/10/2020,['https://www.texastribune.org/2020/08/10/starr-county-texas-coronavirus/']
TEXAS," The start of the Big 12 Conference’s college football season will move forward as scheduled, conference officials say, meaning Texas football programs at Baylor University, Texas Christian University, Texas Tech University and the University of Texas at Austin are free to play this fall.",8/12/2020,['https://www.texastribune.org/2020/08/12/big-12-football-texas-tech-baylor-tcu/']
TEXAS," Texas says it will soon begin regularly releasing information on COVID-19 cases among students and staff members in public schools. School districts will be required to report confirmed COVID-19 cases to the state within 24 hours, though the details of the reporting process may change after superintendent input. The Texas Health and Human Services Commission also says it will start regularly posting names and locations of all child care centers that have reported positive COVID-19 cases, after refusing to publicly release that information in July.",8/20/2020,"['https://www.texastribune.org/2020/08/20/texas-schools-coronavirus-cases/', 'https://www.texastribune.org/2020/08/20/texas-child-care-centers-coronavirus/']"
TEXAS," The Texas Workforce Commission announced that unemployed Texans could soon begin receiving $300 in extra weekly jobless payments after the state received federal approval of funding that President Donald Trump announced in early August. Texans who qualify will also receive the extra money for previous weeks dating to Aug. 1. Texas' July unemployment rate dropped slightly to 8%, according to the U.S. Bureau of Labor Statistics, a sign that Texas' economy is still languishing as the coronavirus pandemic rages across the country. But that’s still up from a near-record low of 3.5% in July 2019, and down from June, when 8.4% of Texans were unemployed.",8/21/2020,"['https://www.texastribune.org/2020/08/21/texas-unemployment-300-payment/', 'https://www.texastribune.org/2020/08/21/texas-unemployment-rate/']"
GEORGIA,"Under the direction of Mayor Bottoms, the Mayor’s Pandemic Coordination Team was created to lead the City’s strategic plan to ensure minimal impact to the City of Atlanta in the case of a COVID-19 pandemic. The team is led by the City’s Chief Health Officer, Dr. Angelica Geter Fugerson, and the City’s Director of Emergency Preparedness and former FBI Special Agent, Felipe den Brok. https://www.atlantaga.gov/Home/Components/News/News/13278/672",2/1/2020,
GEORGIA,Mayor Bottoms made public the City’s ongoing preparations to any potential health threats posed by Coronavirus 2019 (COVID-19).,3/3/2020,
GEORGIA,Mayor Bottoms issued an Administrative Order directing the Commissioner of Watershed Management to refrain from taking any action which would result in the termination of water services for any Watershed Management customer due to non-payment for the next sixty (60) days.,3/11/2020,
GEORGIA,Mayor Bottoms issued an Administrative Order directing the Chief Financial Officer to coordinate with the Chief Health Officer and Director of Emergency Preparedness to develop a financial framework to identify funds to implement the activities and needs of the Mayor’s Coronavirus Pandemic Coordination Team.,3/11/2020,
GEORGIA,"Mayor Bottoms announced the City is implementing a full telework deployment for all non-essential employees through Tuesday, March 31, 2020 pursuant to the terms of the City’s recently issued Telework Policy. City Hall was closed to the general public.",3/12/2020,
GEORGIA,Mayor Bottoms announced the Centers of Hope Afterschool program will continue to provide free meals to all students who rely on them throughout the closure of schools.,3/14/2020,
GEORGIA,"Mayor Bottoms issued an Executive Order declaring a state of emergency due to the COVID-19 pandemic and that public assemblages, events and gatherings of 250 or more persons be prohibited within the City and territorial limits of the City of Atlanta until March 31, 2020.",3/16/2020,
GEORGIA,"Mayor Bottoms issued an updated Executive Order prohibiting public gatherings and events of 50 or more persons within the City of Atlanta until March 31, 2020. The new Executive Order follows the latest Center for Disease Control and Prevention guidance.",3/16/2020,
GEORGIA,"Mayor Bottoms issued an Executive Order calling on the Atlanta Housing Authority, Atlanta Beltline Inc., Fulton County / City of Atlanta Land Bank Authority, Invest Atlanta, Partners for Home and the City of Atlanta’s Department of Grants and Community Development to institute a temporary moratorium on residential evictions and filings for a period of sixty (60) days effective immediately.",3/17/2020,
GEORGIA,"Mayor Bottoms issued an Executive Order creating a $7 million emergency fund to provide assistance to those impacted by COVID-19. The resources are designated to fund emergency assistance to food programs for children and seniors, homeless preparedness, support to small businesses, assistance to hourly wage earners and other areas adversely impacted by COVID-19.",3/17/2020,
GEORGIA,"Mayor Bottoms signed legislation—sponsored by Council members Andre Dickens and Marci Collier Overstreet—allowing the City to temporarily reduce Concessionaire and Car Rental Company rental requirements by suspending the Minimum Annual Guarantee (MAG) payment obligation in the Concessions and Consolidated Car Rental Agreements for a period of four (4) months, ending on June 30, 2020.",3/18/2020,
GEORGIA,Mayor Bottoms closed City Hall to essential and non-essential employees.,3/18/2020,
GEORGIA,"Mayor Bottoms issued two Executive Orders to slow the spread of COVID-19. The first action orders the closure of all bars and nightclubs that do not serve food, gyms and fitness centers, movie theaters, live performance venues, bowling alleys, and arcades, and private social clubs, located within the territorial jurisdictional limits of the City of Atlanta. However, restaurants and other eating and drinking establishments where food is served may continue preparing and offering food to customers via delivery service, drive-through, or take-out. The second action suspends the booting and towing of vehicles in the City right of way, in an effort to assist restaurants and other eating establishments to continue to operate, and allow delivery service workers to maintain and manage their operations in what is anticipated to be an increase in food delivery services.",3/19/2020,
GEORGIA,"Mayor Bottoms issued an Administrative Order directing the Atlanta Police Department to refrain from enforcing prohibitions against the sale of unopened wine or malt beverages by the package for off premises consumption by restaurants and other eating and drinking establishments licensed for the sale of those beverages. These businesses are those which must cease dine-in services but may still offer food to customers via delivery service, drive-through or take-out in accordance with any emergency declaration made in response to the COVID-19 pandemic.",3/20/2020,
GEORGIA,Mayor Bottoms issued an Executive Order instituting a temporary order for those individuals within the territorial jurisdictional limits of the City of Atlanta to stay in their place of residence in response to the rising number of COVID-19 infections.,3/23/2020,
GEORGIA,"Mayor Bottoms issued an Executive Order postponing all meetings of City of Atlanta boards, authorities, commissions, committees or similar bodies which are scheduled to occur in City Hall or other City facilities.",3/24/2020,
GEORGIA,"Mayor Bottoms announced the launch of #ATLSTRONG—a new website that will serve as a COVID-19 resource hub for Atlanta residents. By visiting ATLSTRONG.ORG, residents and business can sign up for COVID-19 text alerts, and request information on emergency fund assistance relief.",3/26/2020,
GEORGIA,"Mayor Bottoms reissued an Executive Order directing individuals within the territorial jurisdictional limits of the City of Atlanta to stay in their place of residence to combat the spread of COVID-19. While restrictions are not being lifted, the City has clarified certain businesses deemed essential.",3/27/2020,
GEORGIA,"Mayor Bottoms issued an Administrative Order directing the institution of a hazard pay policy for front-line City employees. Eligible employees will be compensated an additional $500 per month. The hazard pay policy applies to nearly 5,400 front-line staff positions, including: sworn public safety positions and civilians performing critical watershed, aviation, solid waste, transportation, inspection, parks and recreation and other frontline functions.",3/31/2020,
GEORGIA,"Mayor Bottoms announced the launch of the #ATLSTRONG FUND, a donation campaign led by the Mayor’s Office in partnership with United Way of Greater Atlanta to support City of Atlanta residents experiencing economic hardships and health-related issues caused by COVID-19.",3/31/2020,
GEORGIA,"Mayor Bottoms issued an Executive Order to—among other actions—change the effective date of the previously announced Hazard Pay Policy from March 30, 2020 to March 11, 2020 and shall remain in effect through June 30, 2020. In addition to the receipt of hazard pay, employees eligible to receive hazard pay will be awarded 24 hours of hazard pay compensatory time per week—six days per pay period.",4/7/2020,
GEORGIA,"Mayor Bottoms and Atlanta Housing (AH) CEO Eugene Jones, Jr. announced several rent relief efforts for seniors, families, and other residents who live in AH-owned or subsidized units and have lost income as a result of the COVID-19 pandemic. Those residents suffering a loss of income due to COVID-19 can certify their current income and upon approval, receive a rent reduction, up to 100 percent of the contract rent, for two months, covering the months of April and May 2020, with AH making payment directly to the property owner or management company.",4/7/2020,
GEORGIA,"Mayor Bottoms issued an Executive Order authorizing the allocation of up to one million five hundred thousand dollars ($1,500,000.00) to provide additional individual shelter options with supportive services for people experiencing homelessness.",4/8/2020,
GEORGIA,"Mayor Bottoms announced a new fund with Georgia’s Own Credit Union to provide grants during COVID-19 Crisis. The fund supports contract employees who have experienced lost income and financial hardship due to the Coronavirus pandemic. This effort comes as part of the City’s commitment to providing $7 million in relief funds to support food security efforts for students and seniors and aid City workers, workers of the City’s direct contracts and area small business.",4/14/2020,
GEORGIA,Mayor Bottoms responds to state order to reopen Georgia by encouraging Atlantans to continue to Stay at Home and creates an Advisory Council for Reopening the City of Atlanta.,4/20/2020,
GEORGIA,Mayor Bottoms provides an update on the City of Atlanta's efforts to assist and protect the health and safety of homeless and displaced individuals during the COVID-19 pandemic.,4/21/2020,
GEORGIA,Mayor Bottoms announced the launch of the City of Atlanta COVID-19 Senior Food Program to provide 8 weeks of groceries to over 1000 seniors.,4/24/2020,
GEORGIA,Mayor Bottoms convenes first meeting of the Advisory Council on the Reopening of the City of Atlanta.,4/24/2020,
GEORGIA,Mayor Bottoms announces $10 million Small Business Loan Fund with Goldman Sachs Lendistry.,4/24/2020,
GEORGIA,The City of Atlanta partners to support additional testing sites and provides testing information through the ATLStrong.org site.,4/30/2020,
GEORGIA,Mayor Bottoms announces creATL relief fund to financially support creative industry workers.,5/5/2020,
GEORGIA,Mayor Bottoms announces opening of applications for the Strength in Beauty Fund to provide financial support to cosmetologists.,5/5/2020,
GEORGIA,"The City of Atlanta Food Security programs surpass 30,000 meals and groceries served to students and families.",5/6/2020,
GEORGIA,"Mayor Bottoms orders flags to be lowered to half-staff immediately on all City of Atlanta facilities until further notice, to honor victims of the Coronavirus pandemic.",5/8/2020,
GEORGIA,The Advisory Council on the Reopening of the City of Atlanta submits their final report outlining recommendations for a gradual reopening to Mayor Bottoms.,5/15/2020,
GEORGIA,Mayor Bottoms issues an Executive Order to appropriate $88 million in CARES Act funding.,5/18/2020,
GEORGIA,Mayor Bottoms reissues Administrative Orders related to COVID-19.,5/19/2020,
GEORGIA,Mayor Bottoms announces path to reopening Atlanta.,5/21/2020,
